marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Renault,Megane,Bez oštećenja,89,Da,219000,1500,Dizel,Manuelni,2016,9200
Škoda,Yeti,Bez oštećenja,140,Ne,280000,2000,Dizel,Manuelni,2010,6000
Land Rover,Discovery Sport,Bez oštećenja,179,Ne,173000,1999,Dizel,Automatski,2019,20500
BMW,X1,Bez oštećenja,149,Da,183000,1995,Dizel,Automatski,2021,19700
Audi,A5,Bez oštećenja,140,Da,265000,2000,Dizel,Automatski,2011,12900
Ford,Mondeo,Bez oštećenja,163,Da,235582,1997,Dizel,Automatski,2014,7250
Mercedes Benz,E 63 AMG,Bez oštećenja,612,Da,50250,3998,Benzin,Automatski,2021,105000
Opel,Vectra,Bez oštećenja,120,Da,257000,1900,Dizel,Manuelni,2008,3500
Fiat,500,Bez oštećenja,86,Ne,210000,875,Benzin,Manuelni,2011,5500
Volkswagen,Passat CC,Bez oštećenja,170,Da,212000,2000,Dizel,Automatski,2009,9300
Volkswagen,Golf 7,Bez oštećenja,183,Da,179000,1968,Dizel,Automatski,2014,15400
BMW,X3,Bez oštećenja,184,Ne,271000,2000,Dizel,Automatski,2012,14400
Mercedes Benz,GLK 220,Bez oštećenja,170,Da,143000,2143,Dizel,Automatski,2015,20900
Mercedes Benz,V class,Bez oštećenja,163,Da,205000,2200,Dizel,Automatski,2014,31500
Audi,A3,Bez oštećenja,140,Da,260000,2000,Dizel,Manuelni,2008,5300
Audi,Q5,Bez oštećenja,136,Da,220000,20,Dizel,Manuelni,2015,17500
Cenntro,Avantier,Bez oštećenja,68,Da,0,,Električno,,2025,21900
Mercedes Benz,E 220,Bez oštećenja,195,Da,160000,2000,Dizel,Automatski,2018,31500
Nissan,X-Trail,Bez oštećenja,130,Da,168513,1598,Dizel,Manuelni,2015,16500
Toyota,Hilux,Bez oštećenja,149,Da,287000,2393,Dizel,Manuelni,2017,33300
Audi,A7,Bez oštećenja,244,Da,210000,3000,Dizel,Automatski,2012,15999
Audi,A3,Bez oštećenja,105,Da,260000,1900,Dizel,Manuelni,2006,5000
Audi,A4,Bez oštećenja,177,Ne,275000,2000,Dizel,Manuelni,2012,9800
Ford,Focus,Bez oštećenja,89,Da,270000,1600,Dizel,Manuelni,2005,3000
Renault,Clio,Bez oštećenja,85,Ne,213000,1500,Dizel,Manuelni,2019,9550
Mazda,CX-5,Bez oštećenja,176,Da,153201,2191,Dizel,Automatski,2017,24900
Mercedes Benz,A 180,Bez oštećenja,136,Ne,45000,1332,Hibrid benzin,Automatski,2023,35800
Volkswagen,Golf 6,Bez oštećenja,161,Ne,228000,1390,Benzin,Automatski,2009,6950
